freq	numeral	word
3249009	1	ett
729451	2	två
427844	3	tre
253325	4	fyra
183557	5	fem
140779	6	sex
128042	10	tio
88604	7	sju
83413	8	åtta
56677	9	nio
38944	12	tolv
31422	11	elva
11313	20	tjugo
8551	15	femton
6223	13	tretton
5089	30	trettio
4670	14	fjorton
4195	50	femtio
3787	16	sexton
2876	40	fyrtio
2479	17	sjutton
2449	18	arton
1425	19	nitton
1005	25	tjugofem
524	24	tjugofyra
472	22	tjugotvå
317	23	tjugotre
304	35	trettiofem
211	26	tjugosex
194	21	tjugoen
184	45	fyrtiofem
170	28	tjugoåtta
160	32	trettiotvå
159	27	tjugosju
147	36	trettiosex
115	33	trettiotre
113	39	trettionio
97	29	tjugonio
81	34	trettiofyra
78	42	fyrtiotvå
77	38	trettioåtta
69	37	trettiosju
64	43	fyrtiotre
63	44	fyrtiofyra
54	48	fyrtioåtta
44	31	trettioen
42	47	fyrtiosju
42	46	fyrtiosex
35	49	fyrtionio
20	41	fyrtioen
